	Argument ID	Conclusion	Stance	Premise
708	A18036	We should abolish capital punishment	against	capital punishment is absolutely needed. it acts as a deterrent to prevent future crime. if a person knows they can be killed for their crime, it deters them and also makes sure they aren't released from prison
709	A18037	We should abandon the use of school uniform	against	school uniform helps all children attend on a level playing field, free from worry about trying to keep up with expensive fashion trends.
710	A18038	We should oppose collectivism	against	we should support collectivism because it helps people find common goals.
711	A18039	We should adopt a zero-tolerance policy in schools	in favor of	Some violent and extreme behaviours in schools deserve a fierce and sharp reaction.
712	A18040	We should subsidize Wikipedia	against	it may effect its impartiality, governments  may use their funding to influence editors.
713	A18042	We should abolish zoos	against	we shouldn't abolish zoos because they create jobs for zookeepers and they allow children to view wild animals which is fun and educational
714	A18043	We should ban cosmetic surgery for minors	against	even minors have the right to bodily autonomy and should be allowed to decide for themselves whether to have cosmetic surgery.
715	A18045	We should fight for the abolition of nuclear weapons	against	nuclear weapons provide us security in times of war.
716	A18046	We should adopt gender-neutral language	in favor of	we should adopt gender-neutral language because equal rights should include equal language
717	A18047	We should abolish the Olympic Games	in favor of	we should abolish the olympic games because they have not done what they were meant to do which is create peace.  they have created more problems especially to those hosting them and are just beyond their time.
718	A18048	We should adopt atheism	against	people have the freedom to choose any religion, atheism should not be forced upon people
719	A18050	We should ban fast food	in favor of	fast food has proven to be detrimental to the health of all people and should be banned immediately.
720	A18053	We should subsidize embryonic stem cell research	in favor of	we need the cures and treatments we can get by funding stem cell research.
721	A18056	We should ban the Church of Scientology	in favor of	scientology is not a real religion and you can't just take a work of sci-fi and make your own religion
722	A18057	We should ban whaling	in favor of	whaling is cruel and inhumane; it should be banned.
723	A18058	We should ban human cloning	in favor of	human cloning is unnatural and should be banned
724	A18059	We should abolish the three-strikes laws	in favor of	We should abolish the three-strikes laws because they discriminate against over-policed communities.
725	A18060	We should prohibit school prayer	against	we shouldn't prohibit school prayer because is important for religious education
726	A18061	We should ban telemarketing	in favor of	it is a form of harassment to be contacted constantly by telemarketers.
727	A18062	We should stop the development of autonomous cars	against	autonomous cars could help people make better use of their time
728	A18063	We should adopt atheism	in favor of	atheism is the most rational outcome  for our society after too many religions have ruined our lives
729	A18064	We should legalize organ trade	in favor of	organ trade between consenting parties should be an option as it can reduce wait times.
730	A18065	We should legalize cannabis	against	legal marijuana could actually improve opportunities for the black market because cartels can easily undermine licensed sellers prices and the black market will thrive
731	A18066	We should abolish zoos	in favor of	we should abolish zoos because it is cruel to cage up animals like that in one area and is not their natural habitat and essentially treat them like pets.
732	A18067	We should subsidize embryonic stem cell research	in favor of	the investigations with mother cells could mean the definitive advance for the human race
733	A18068	We should oppose collectivism	in favor of	people should be able to work hard and reap the benefits of their labor. with collectivism you will always have some people doing most of the work and the lazy ones will benefit from it.
734	A18069	We should legalize cannabis	against	legalizing marijuana leads to more marijuana-related medical emergencies cases and unintentional cannabis overdose injuries among children
735	A18070	We should ban private military companies	against	Private military companies can provide more advanced technology because they are not restricted by governmental red tape.
736	A18072	We should ban cosmetic surgery	against	cosmetic surgery teaches our daughters that they need to look perfect and never age.
737	A18073	We should abolish the three-strikes laws	in favor of	three-strike laws are intolerant of special circumstances.
738	A18074	We should legalize cannabis	against	allowing people to use a gateway drug like cannabis is steering them towards a life of addiction.
739	A18075	We should prohibit school prayer	against	school prayer should be allowed in school because it is what our country was founded on.  those who disagree could just abstain from the prayer.
740	A18076	We should prohibit school prayer	in favor of	school prayer is wrong because the non religious are expected to participate.
741	A18077	We should stop the development of autonomous cars	in favor of	The development of autonomous cars should be halted until we have dealt with the moral question of who would be  liable in the case of an accident, hacking or malfunction.
742	A18078	We should abolish zoos	in favor of	it's cruel for the animals to be caged
743	A18079	We should ban cosmetic surgery	in favor of	the long term effects of new procedures have not been studied enough to know if they are safe.
744	A18080	We should legalize prostitution	against	we should not legalize prostitution because they spread too many diseases
745	A18081	We should ban private military companies	against	We should not ban because it has been proven to work and can serve specific issues
746	A18082	We should abolish the right to keep and bear arms	against	guns are already ubiquitous and outlawing them will only keep them out of the hands of lawful owners.
747	A18083	We should fight for the abolition of nuclear weapons	against	we must not abolish nuclear weapons because they can be used in situations of extreme need like defending a country
748	A18084	We should ban missionary work	against	independent religious organisations should be free to solicit for new members if they do so in a fair and open manner.
749	A18085	We should adopt an austerity regime	in favor of	austerity regimes needs to be adopted to reduce budget deficits and debt crises
750	A18089	We should end mandatory retirement	against	for people who work in skilled manual jobs it comes to a point where it is no longer safe for them work, the retirement age is used to protect people of a certain age as a safety precaution
751	A18090	We should limit executive compensation	in favor of	executive compensation should be limited to make companies more profitable.
752	A18093	We should abolish intellectual property rights	in favor of	intellectual property rights create a monopoly position for a company which enables them to charge whatever they like for a product without fear of competition. it prices the poor out of markets
753	A18094	We should legalize cannabis	in favor of	some states have already done it so we might as well.
754	A18096	We should abolish the right to keep and bear arms	against	the right to keep and bear arms is important in keeping people safe in a dangerous and uncertain world
755	A18098	We should abolish the three-strikes laws	against	three strikes is enough opportunity for a person to reform their behavior and become a law abiding citizen. after three strikes a person has proven they are not interested in conforming to societal rules.
756	A18099	We should abolish intellectual property rights	in favor of	maintaining intellectual property rights for all is too expensive, and maintaining these rights might restrict innovation in certain sectors.
757	A18100	We should legalize sex selection	against	this should be banned as it is immoral.
758	A18101	We should abolish the Olympic Games	against	athletes train their whole lives in hopes that they can represent their country to be the best.
759	A18105	We should adopt an austerity regime	in favor of	we should adopt an austerity regime so that future generations are not left t0 pay the debts that we rack up.
760	A18107	We should ban cosmetic surgery for minors	in favor of	allowing cosmetic surgery for minors would simply sweep the real problem under the rug: the effect of toxic appearance standards.
761	A18108	We should adopt gender-neutral language	against	other languages such as spanish and french have even more gendered language than we do, and they have no problems
762	A18109	We should ban telemarketing	in favor of	telemarketing should be banned because it is disruptive to the course of the day for many people.
763	A18110	We should subsidize Wikipedia	in favor of	wikipedia would be more accurate if it was subsidized.
764	A18114	We should ban missionary work	against	missionary work can sometimes provide communities in need around the world with access to education and resources.
765	A18118	We should ban whaling	in favor of	whaling kills whales in an inhumane way
766	A18120	We should ban cosmetic surgery for minors	in favor of	childrens' bodies are constantly changing  throughout childhood so that, cosmetic surgery may be used to alter an disliked part of the body when it may change anyway, resulting in unnecessary surgery
767	A18121	We should ban targeted killing	against	Targeted killing surgically removes enemy actors with no collateral damage, it must be continued.
768	A18123	We should ban missionary work	in favor of	missionary work is dangerous and not necessary
769	A18124	We should stop the development of autonomous cars	against	autonomous cars can give many people the freedom to drive without actually driving, so we should not stop making them.
770	A18125	We should ban fast food	against	this is a free country. people are free to make bad nutritional decisions
771	A18129	We should cancel pride parades	in favor of	pride parades cause more trouble by singling out those who are different.
772	A18131	We should stop the development of autonomous cars	against	development of autonomous car will make traffic and parking  easier
773	A18133	We should ban the Church of Scientology	against	to pick out one religion out of many to ban would be an infringement of the freedom to practice any religion of your choosing.
774	A18134	We should adopt libertarianism	against	we should not adopt libertarianism for fear of the threat to law and order.
775	A18135	We should abolish the Olympic Games	against	the olympic games brings together the world in a peaceful environment
776	A18136	We should ban the use of child actors	against	banning child actors would limit movies and tv shows. anything with children in the story would be unable to be made. television and movies for children would no longer exist either.
777	A18138	We should ban private military companies	in favor of	private military companies should be banned they often act as mercenaries and cant be regulated
778	A18139	We should subsidize journalism	in favor of	Journalism plays an essential role as watchdog of democracy, and keeping citizens informed. Such a valuable industry deserves government subsidization.
779	A18141	We should legalize organ trade	in favor of	people are more likely to share their organs if there is financial benefit to them, increasing supply.
780	A18144	We should cancel pride parades	against	we should not cancel pride parades because people should have the right to express what they want, and how they feel about a certain issue.
781	A18145	We should subsidize student loans	in favor of	student loans enable poor students to continue with their education and graduate from the university
782	A18146	We should ban factory farming	against	it is the most efficient way to produce food
783	A18147	We should abolish the three-strikes laws	in favor of	Three strikes laws ruin young people's lives by preventing them from being accessing education and jobs that would pull them out of a life of crime by prolonging their time in jail during their formative years.
784	A18148	We should ban the Church of Scientology	in favor of	the church of scientology is a cult and it should be banned.
785	A18149	We should abolish safe spaces	in favor of	safe spaces create an unrealistic environment that doesn't exist in the real world.
786	A18150	We should end mandatory retirement	in favor of	just because someone has reached the age of retirement, they are still able to provide a vaulable service with expertise and a vast knowledge of experience.
787	A18152	We should limit executive compensation	in favor of	if a company has received enough profits to offer bonuses to their executives, the money could be better spent on giving bonuses to poorer staff members at the bottom of the chain.
788	A18153	We should adopt a zero-tolerance policy in schools	against	we shouldn't adopt a zero-tolerance policy in schools because a misunderstanding can cause innocent students to be suspended or expelled
789	A18154	We should legalize sex selection	in favor of	sex selection should be allowed to those who want a certain gender.
790	A18155	We should end the use of economic sanctions	against	economic sanctions are an effective way to signify that human rights abuses will not be tolerated.
791	A18160	We should adopt a multi-party system	in favor of	A multi-party system would bring in a lot more choice of representation for the people living in the country.
792	A18161	We should adopt atheism	in favor of	Atheism should be adopted because many people do not believe in God or a higher power,
793	A18162	We should abandon the use of school uniform	in favor of	school uniformlimits a childs ability to express themselves, experiment and develop as a person
794	A18164	We should adopt a zero-tolerance policy in schools	in favor of	zero-tolerance must be mandatory in school and is only way to stop negative stuff which happens so often in schools.
795	A18165	We should ban algorithmic trading	against	Algorithmic trading can operate 24 hours a day. While you sleep, your algorithms are making you money.
796	A18166	We should adopt a zero-tolerance policy in schools	against	however these policies can impede the advancement of children from troubled backgrounds or with additional needs. they need a safe place to learn in a positive behaviours in a supportive environment.
797	A18169	We should ban human cloning	in favor of	human beings were created to be individuals unlike no other.
798	A18171	We should ban cosmetic surgery	in favor of	cosmetic surgery can sometimes cause harm and disasterous results.
799	A18172	We should ban cosmetic surgery	in favor of	cosmetic surgery only serves to perpetuate eurocentric standards of beauty and makes it more difficult to challenge them.
800	A18175	We should end mandatory retirement	in favor of	someone should be able to continue working if they want, despite their age.
801	A18178	We should ban fast food	in favor of	fast food threatens the health of many americans.
802	A18179	We should ban algorithmic trading	in favor of	algorithmic trading is unfair and doesn't allow for the individual to make money that doesn't have the algorithim.
803	A18180	We should subsidize Wikipedia	against	it is inaccurate and should not be funded by government money.
804	A18181	We should abolish capital punishment	against	some crimes are so heinous that the only just punishment is the death penalty.
805	A18182	We should end the use of economic sanctions	in favor of	ending economic sanctions would make it so all countries could trade freely with anyone.
806	A18183	We should legalize sex selection	against	when people mess with mother nature by trying to select the sex of their child, only bad things can happen.
807	A18184	We should abolish safe spaces	against	safe spaces are important for those who do not feel included or feel threatened
808	A18185	We should abolish the three-strikes laws	against	the three-strikes laws offer clarity, and their mandatory nature makes punishment certain, these laws prevent inconsistency in the criminal justice system
809	A18186	We should legalize sex selection	against	sex selection promotes abortion and gender inequality
810	A18188	We should ban the use of child actors	in favor of	children should be at school and not working. we do not allow children to work in any other way and acting should be no different.
811	A18189	We should abolish zoos	in favor of	zoos are inherently cruel to the animals, keeping them confined in unnatural conditions for the benefit of entertaining human visitors - they are miserable, and more prone to disease.
812	A18192	We should legalize prostitution	in favor of	Legalizing prostitution will allow prostitutes to push for equitable contracts and conditions, something they can't do in the status quo since their work is illegal.
813	A18195	We should abolish zoos	against	we should not abolish zoos as they contribute to the breeding of endangered species and the reintroduction of animals to the wild
814	A18197	We should abolish the Olympic Games	against	promotes peace and sportsmanship amongst countries
815	A18200	We should ban cosmetic surgery	in favor of	cosmetic surgery creates a great desire for physical improvement that leads to an endless loop of body adjustments which has a detrimental effect on the individual.
816	A18201	We should abolish intellectual property rights	against	intellectual property rights protect inventors.
817	A18203	We should limit judicial activism	against	judicial activism,  bringing a personal touch of the judge,  is  the best way to apply laws and rules for our society.
818	A18204	We should ban factory farming	in favor of	it is not humane to animals and needs to be stopped.
819	A18207	We should ban human cloning	against	human cloning is simply another avenue of science to explore, and it is vital to push back the boundaries in order to open up possible potential cures for disease and medical issues.
820	A18209	We should subsidize student loans	in favor of	we should subsidize student loans to ensure all who seek a good education can obtain one. this sets up success for life which also saves the government money when people are self sufficient
821	A18211	We should ban cosmetic surgery for minors	in favor of	minors are too immature to make this decision
822	A18213	We should ban targeted killing	against	targeted killing may be necessary in very limited circumstances where there is an immediate threat to life of civilians or military personnel
823	A18214	We should limit executive compensation	in favor of	executive compensation could encourage money laundering and corruption
824	A18215	We should ban targeted killing	against	we should  not ban targeted killing, it prevents mass military campaigns and minimises casualties
825	A18216	We should ban fast food	against	people should be able to choose what they want to eat
826	A18218	We should adopt a zero-tolerance policy in schools	in favor of	it makes a school a safe place for children to learn
827	A18221	We should ban private military companies	in favor of	private military companies are a risk to the general public as they are not regulated and therefore should be banned
828	A18223	We should subsidize space exploration	in favor of	space exploration needs our support to help us understand the universe and our place in it.
829	A18225	We should ban whaling	in favor of	whaling is inhumane and should be banned.
830	A18226	We should subsidize Wikipedia	against	there is not need to subsidize wikipedia, it does not serve any purpose that cannot be filled elsewhere.
831	A18227	We should limit judicial activism	in favor of	judges who rule based on their own personal and political beliefs usurp the power of our elected officials and are violating our constitutional rights,
832	A18228	We should ban targeted killing	against	TARGETED KILLING MAKES THE WORLD A SAFER PLACE REMOVING THOSE PEOPLE WHO AIM TO HARM OTHERS
833	A18229	We should ban human cloning	against	we should not ban human cloning because it could help with medical research
834	A18231	We should legalize sex selection	against	We should not legalize sex selection as this is playing god and can open the door to a raft of other genetic selection that is not thoroughly tested.
835	A18232	We should abolish capital punishment	in favor of	Given that we can almost never guarantee that someone isn't wrongly convicted, we shouldn't have capital punishment because it can't be undone if new evidence comes out.
836	A18233	We should end the use of economic sanctions	in favor of	they only hurt the poorest of society and are an outdated punishment.
837	A18234	We should ban whaling	in favor of	so often these creatures are butchered to death for one small part of their anatomy for medicine made up by a scam doctor
838	A18236	We should abandon the use of school uniform	against	the use of school uniforms helps the poorest to attend classes without the problem of lack of clothing
839	A18237	We should cancel pride parades	against	pride parades are an important part of society to promote freedom of choice  and acceptance.
840	A18238	We should subsidize space exploration	against	space exploration is a waste of taxpayers money and should be funded by private enterprises.
841	A18239	We should adopt a zero-tolerance policy in schools	in favor of	Zero-tolerance policies may seem unfair to the individual but bad and risky behavior at schools spreads faster than wildfire. Sometimes we must make an example of an individual for the greater good.
842	A18240	We should ban cosmetic surgery	against	everyone has the right to alter their bodies or appearances in which ever way makes them feel comfortable and at ease.
843	A18241	We should ban whaling	against	We should not ban whaling because it is important to many aboriginal cultures in the arctic, and it is wrong for the governments of countries like Canada and Russia to oppress those peoples.
844	A18242	We should subsidize space exploration	against	humans shouldn't colonize space until we learn to care for earth
845	A18243	We should ban factory farming	against	factory farming is a great way to get more food for everyone
846	A18245	We should end mandatory retirement	in favor of	mandatory retirement is harsh.  it pushes workers who might still be viable out of the workforce for no other reason than their age, often leaving them to struggle.
847	A18246	We should subsidize journalism	in favor of	we should, if it's subsidised it could mean better journalism
848	A18248	We should introduce compulsory voting	in favor of	elections are supposed to be won by the opinion of the people.  if only a select few people vote, then the result only reflects their opinions, not that of the whole population.
849	A18249	We should ban algorithmic trading	in favor of	Algorithmic trading allows computers to buy and sell assets suddenly and in massive quantities, creating shifts in the market and making human trading difficult.
850	A18253	We should limit judicial activism	in favor of	judicial activism should be limited so that judgements are reached based on factual evidence only. allowing personal opinions to cloud the issue can result in mis-trials of justice.
851	A18256	We should ban missionary work	in favor of	Missionary work forces the opinions of others onto individuals that didn't consent or want the religion.
852	A18258	We should subsidize student loans	in favor of	Students are and will always be the backbone of the society. It's compulsory to support these growing students in becoming true, well educated citizens to support the economy.
853	A18259	We should abolish safe spaces	in favor of	we should abolish safe spaces as policing these areas is costly and it is against human rights to stop freedom of movement into different areas.
854	A18260	We should ban factory farming	in favor of	Factory farming should be banned as it is an unhealthy and uncaring atmosphere in which to raise animals and doesn't result in a good quality product at the end.
855	A18261	We should subsidize student loans	in favor of	students that work hard to get a degree should not start out their journey into the real world, in debt
856	A18262	We should subsidize journalism	in favor of	supporting journalism is obligatory in our democracy society and `free speech` should be defended and approved by all means.
857	A18264	We should ban targeted killing	in favor of	TARGETED KILLING IS STILL MURDER EVEN IF IT IS SANCTIONED BY A COUNTRY'S GOVERNMENT
858	A18265	We should abolish zoos	in favor of	we should abolish zoos to prevent the cruel confinement of wild animals
859	A18266	We should legalize prostitution	in favor of	When prostitution is illegal, prostitutes are defenseless, and are often harassed and abused.
860	A18267	We should adopt libertarianism	in favor of	lower taxes and more freedom from big government would be the result if we adopted libertarianism.
861	A18268	We should subsidize embryonic stem cell research	against	embryonic stem cell research requires the destruction of human embryos and so is considered unethical by many people
862	A18270	We should legalize prostitution	in favor of	Everyone has the right to bodily autonomy. If a person chooses to sell his or her body for sex, it should not be illegal.
863	A18275	We should adopt atheism	in favor of	we should adopt atheism because for decades we have proven with science that religious explanations are incorrect
864	A18276	We should abolish zoos	against	zoos provide the only places for some endangered species to survive that they are essential and we should not abolish them we need to support them and their breeding programs.
865	A18278	We should cancel pride parades	in favor of	pride parades have now grown to the point where they are increasingly difficult to police and the scale of the events now need to be looked at to ensure the safety of all participants.
866	A18279	We should ban private military companies	in favor of	we should ban this because they cant be controlled and could turn against the government or people. they also might cause more problems then help solve them.
867	A18281	We should abolish intellectual property rights	in favor of	Intellectual property rights slows down the speed with which people have access to technology, goods and ideas that could transfrom their lives so should be abolished.
868	A18283	We should oppose collectivism	in favor of	collectivism and the impingement of the the government results in people blaming others for their problems rather than looking for solutions themselves
869	A18284	We should legalize cannabis	in favor of	for people undergoing chemotherapy, cannabis can be extremely helpful in regaining appetite for food
870	A18285	We should abolish intellectual property rights	against	somebody was working hard to make something and then should be rewarded for it. that`s what intellectual property rights all about.
871	A18286	We should abolish the right to keep and bear arms	against	it is a fundamental right of american citizens to keep and bear arms and to remove that right would simply drive arms trading underground.
872	A18287	We should legalize organ trade	in favor of	organs are expensive, and a legal trade can allow for someone in desperate need to get an organ without money or wait times.
873	A18290	We should ban the use of child actors	in favor of	Child actors are forced to grow up way too fast, they are thrown into a world of drugs and sex at an early age.   Kids should be away from all that until Hollywood is safe for them.
874	A18291	We should adopt gender-neutral language	in favor of	gender-neutral language should be adopted so that society can progress and advance. does it really matter if you are a man or woman anymore? it shouldn't.
875	A18292	We should fight for the abolition of nuclear weapons	in favor of	we should fight for the abolition of nuclear weapons or else the entire world will destroy itself.
876	A18293	We should cancel pride parades	in favor of	they are a waste of public resources.  policing these events costs a lot of money and to what end?
877	A18296	We should abolish the right to keep and bear arms	against	people should be able to keep weapons as a form self defence to defend their property and themselves
878	A18297	We should adopt an austerity regime	against	absolutely not.  the great president donald trump is turning the country around and saving us from the financial disaster that the last eight years were leading the united states towards.
879	A18298	We should legalize cannabis	in favor of	legalizing cannabis will make it easier for those who need it for medical reasons to acquire it.
880	A18299	We should ban cosmetic surgery	in favor of	banning cosmetic surgery would take the pressure off people to look a certain way that media and society dictates.
881	A18301	We should adopt gender-neutral language	in favor of	gender neutral language will allow both genders to be included and liberated to succeed as much as possible.  removing gender benefits all and reduces discrimination and suppression.
882	A18305	We should legalize cannabis	against	legalising cannabis could normalise it and encourage more children to partake
883	A18308	We should abolish the three-strikes laws	in favor of	minorities are more likely to be prosecuted and therefore have prior offences so this is unfairly applied
884	A18311	We should abandon the use of school uniform	against	school uniforms keep all kids equal while at school learning and that is a great thing so school uniforms should remain.
885	A18313	We should subsidize journalism	against	State subsidies for journalism will make journals financially dependent on the government, which will allow the government to influence what news gets reported and how the reporting is done.
886	A18314	We should limit executive compensation	in favor of	executive compensation too often fails to deliver and as such causes working issues, therefore it should not only be limited but stopped completely.
887	A18316	We should ban cosmetic surgery for minors	in favor of	cosmetic surgery is dangerous for all ages but especially so for minors therefore it should be banned for their age.
888	A18318	We should adopt an austerity regime	against	We should not adopt an austerity regime because this move hurt people that are living on their pensions and people pay more taxes and this hurt a lot of people
889	A18321	We should abolish the three-strikes laws	in favor of	Three strikes laws lead to prison over-population since more offenders are put away for a longer time. This leads to worse prison conditions and more violence in prisons.
890	A18322	We should ban the Church of Scientology	in favor of	Scientology is not a true religion it is a sect or a cult which brainwashes it's followers and makes money from them.
891	A18323	We should adopt atheism	in favor of	We should adopt atheism as then there would be no arguments about religion which seems to be the cause of most wars and disagreements in society.
892	A18324	We should legalize organ trade	against	people would sell organs because to them money is more important than health, putting them at risk.
893	A18325	We should ban cosmetic surgery for minors	against	a person should be allowed to choose what happens to their bodies
894	A18326	We should abandon the use of school uniform	in favor of	school uniforms limit the ability to express one's self.
895	A18327	We should abolish the right to keep and bear arms	in favor of	gun ownership hurts more people than it helps.
896	A18328	We should subsidize journalism	in favor of	keeping journalist in work helps the nation keep up with the news
897	A18331	We should end the use of economic sanctions	against	its the only way to send a hard message
898	A18332	We should ban targeted killing	in favor of	targeted killings need to stop because the bad guys need to be caught and brought to trial if possible
899	A18334	We should fight for the abolition of nuclear weapons	against	The risk of nuclear war has made great powers more likely to turn to negotiation and cooperation to settle disputes, and abolishing nuclear weapons would make war less costly and more likely.
900	A18335	We should end mandatory retirement	in favor of	Mandatory retirement is discriminatory on the basis of age, which is an immutable characteristic much like gender or race in that one has no control over it.
901	A18338	We should adopt atheism	against	people have the right to choose any religion they with, atheism should not be forced upon them.
902	A18339	We should abandon the use of school uniform	against	school uniform makes all children on a level at school, reducing their differences in background and wealth to unify the class
903	A18340	We should prohibit school prayer	against	we should not prohibit school prayer because it would violate rights some religions
904	A18341	We should ban factory farming	against	for many, eating factory farmed food, is the only way they can afford to eat meat so to ban it would limit the food types poorer people could eat.
905	A18342	We should ban missionary work	in favor of	Sometimes, missionary workers condition the receipt of aid on a community's willingness to accept or be taught the Christian religion.
906	A18344	We should ban the Church of Scientology	against	this country was founded by the freedom of religion, so people should have the right to follow any church they want.
907	A18345	We should stop the development of autonomous cars	in favor of	autonomous cars have already caused multiple fatalities and are being used on public roads right now without being adequately tested. the makers are literally using human lives to beta test their products.
908	A18346	We should legalize organ trade	in favor of	Legalizing the organ trade would allow more patients to receive the organ transplant they need.
909	A18350	We should ban private military companies	against	military is a big organization that needs private company to supply their needs
910	A18351	We should ban human cloning	in favor of	human cloning should be banned as it is unnatural and serves no purpose in the world. individuality would be lost.
911	A18353	We should subsidize embryonic stem cell research	against	the nhs has limited funding and this should be spent providing care for those that need it rather than wasting it on research that may not help solve anytihng
912	A18355	We should ban factory farming	against	let the free market decide whether or not we should allow factory farming
913	A18356	We should ban telemarketing	against	we live in a capitalist country and telemarketing  is how many businesses grow and develop.
914	A18358	We should prohibit school prayer	in favor of	religious beliefs are forced upon children and children of different religions may feel excluded
915	A18359	We should abolish capital punishment	in favor of	capital punishment is barbaric, what if an innocent person is killed under these laws, you cannot release them and make restitution, capital punishment makes authorities as guilty of crime as the criminals.
916	A18360	We should ban the use of child actors	against	the roles of child actors cannot be fulfilled by adults so it would be impossible to ban their use.
917	A18361	We should abolish safe spaces	against	safe spaces provide a valuable service to those who may be suffering from ptsd
918	A18363	We should subsidize student loans	against	it isn't the obligation of any tax payer to give money to help someone else get an education.  that is a personal choice, and if they want to go to college they need to pay for it on their own.
919	A18365	We should abolish the right to keep and bear arms	in favor of	the right to keep and bear arms has enabled the death of many innocent people - including small children. it is time to move on.
920	A18367	We should ban algorithmic trading	in favor of	algorithmic trading can be manipulated and used for nefarious reasons
921	A18368	We should introduce compulsory voting	in favor of	compulsory voting could be used as a way to check population and make sure everyone has current ids.
922	A18369	We should abolish the three-strikes laws	against	this law is good for young people who would learn their lesson and become good adults
923	A18370	We should adopt gender-neutral language	against	gender-neutral language is unnecessary.
924	A18373	We should abolish intellectual property rights	in favor of	ideas and products need to be available at a fair price for everyone, allowing companies to have their intellectual rights means they can charge far too much to people who need that service or product.
925	A18374	We should subsidize Wikipedia	against	we should not subsidize wikipedia because it already receives more than enough money through voluntary donations
926	A18375	We should oppose collectivism	in favor of	collectivism takes the focus off the individual as well as the ways in which each of us is unique. supporting collectivism means wanting the individual to remain subordinate to society.
927	A18376	We should legalize cannabis	in favor of	the healing properties of cannabis are necessary to alleviate the health of many patients who do not have access to it due to its restriction
928	A18378	We should subsidize embryonic stem cell research	in favor of	embryonic stem cell research may in the future lead to the discovery of treatments for many debilitating medical conditions
929	A18381	We should abolish safe spaces	in favor of	safe spaces are often used to stifle free expression of opinions
930	A18383	We should adopt libertarianism	against	libertarianism is a selfish and dangerous philosophy, devoid of empathy and charity. if it were to become the dominant political system, we would see a huge increase in social inequality.
931	A18384	We should ban missionary work	against	it helps small third world countries become more modernized.
932	A18385	We should subsidize embryonic stem cell research	in favor of	without further research we won't know what amazing potential we have with embryonic stem cells
933	A18386	We should ban the Church of Scientology	in favor of	there have been credible witnesses to the fact that the church of scientology engages in physical and emotional abuse
934	A18387	We should adopt gender-neutral language	in favor of	neutral language is an alternative at the time of speaking that serves to include all persons without gender exclusion
935	A18388	We should adopt an austerity regime	in favor of	adopting an austerity regime is the best way to reduce the budget deficits we currently are faced with
936	A18389	We should ban cosmetic surgery	against	people have the right to enhance their body in any way they want to.
937	A18391	We should subsidize Wikipedia	against	wikipedia is a private entity and is responsible for its own operating costs
938	A18392	We should ban missionary work	in favor of	Missionaries try to force their beliefs and values on people.
939	A18393	We should subsidize journalism	against	journalists get paid enough, they don't need any more money.
940	A18394	We should ban the use of child actors	against	the usage of child actors should not be banned as they are an important part of the acting field they have adults who can make rationale decisions for them.
941	A18395	We should limit executive compensation	against	if someone has worked hard to get where they are in a company then they should be rewarded accordingly.
942	A18397	We should introduce compulsory voting	against	people should not be forced to vote if they don't feel compelled to vote for a candidate or issue..
943	A18399	We should abolish the right to keep and bear arms	against	the right to keep and bear arms is an constitutional right that needs to be upheld.
944	A18400	We should abolish the Olympic Games	in favor of	they are boring and cost too much money
945	A18401	We should adopt a multi-party system	against	introducing a multi-party system would be detrimental to stability and consistency of our political system
946	A18402	We should end the use of economic sanctions	in favor of	economic sanctions cause hard feelings between nations and can cause war.
947	A18403	We should limit executive compensation	in favor of	Executive compensation should be limited to ensure the top staff is not taking all of the rewards for companies that are supported by thousands of workers. All employees contribute to the success of a company.
948	A18404	We should subsidize space exploration	in favor of	we need to explore space so we can find minerals that are getting depleted on our planet
949	A18405	We should adopt libertarianism	against	without regulations and welfare, society would collapse into vast pools of crime and poverty
950	A18407	We should subsidize embryonic stem cell research	against	some religions do not believe in this sort of research.
951	A18408	We should ban the Church of Scientology	in favor of	scientology is in fact a cult, cults need to be stopped.
952	A18409	We should limit judicial activism	against	it is important that the highly experienced, well trained people at the top of the judicial system can use their own experiences and common sense when passing judgments - else anyone could be a judge.
953	A18410	We should stop the development of autonomous cars	against	autonomous cars could prevent traffic jams and accidents.
954	A18411	We should adopt atheism	against	we should not adopt atheism because everyone should have something to believe in.
955	A18412	We should ban the use of child actors	in favor of	using child actors can create unimaginable pressure ans stress on the child if they become a star or the production is a success and this can lead to substance abuse problems to cope with said pressure
956	A18415	We should abolish safe spaces	in favor of	safe spaces act to stifle free speech
957	A18416	We should ban cosmetic surgery for minors	against	cosmetic surgery might be the only hope for children born with disfigurements that would have severe impact on self-esteem and lead to psychological issues and childhood trauma.
958	A18417	We should ban the Church of Scientology	against	we should not ban the church of scientology because people have a right to chose their believes
959	A18418	We should abolish capital punishment	against	Abolishing death penalty means abandoning the poor -who suffer the most from high crime rates -  only so that the elites could feel good about themselves.
960	A18420	We should subsidize space exploration	in favor of	subsidizing space exploration is a positive move to help advance our space program.
961	A18421	We should ban algorithmic trading	against	algorithmic trading can do a job that humans are not able to do
962	A18422	We should abolish the Olympic Games	against	they increase tourist activities and are a boost to the local economy.
963	A18423	We should adopt gender-neutral language	in favor of	in a time of equality, knowing the gender of a person isn't important, salesperson is a much more inclusive term than saleswoman.
964	A18424	We should fight for the abolition of nuclear weapons	in favor of	nuclear weapons will someday destroy everyone and everything.
965	A18425	We should adopt libertarianism	in favor of	Libertarianism increases individual liberties by preventing the government from controlling every aspect of our lives.
966	A18426	We should adopt gender-neutral language	against	gender-neutral language doesn't always help people clearly communicate what they mean
